id	angle	time	type	imu_position
1	0	10	1	1
2	0	10	1	1
3	0	10	1	1
4	0	10	1	1
5	0	10	1	1
6	0	10	1	1
7	90	10	2	2
8	90	10	2	2
9	90	10	2	2
10	90	10	2	2
11	90	10	2	2
12	90	10	2	2
13	90	10	2	2
14	-1	10	4	3
15	-1	10	4	3
16	-1	10	4	3
17	-1	10	4	3
18	-1	10	4	3
19	-1	10	4	3
20	-1	10	4	3
21	90	10	4	3
22	70	10	4	3
23	-1	10	3	4
24	-1	10	3	4
25	-1	10	3	4
26	-1	10	3	4
27	90	10	3	4
28	90	10	3	4
29	90	10	3	4
30	60	10	3	4
31	60	10	3	4
32	60	10	3	4
33	30	10	1	5
34	30	10	1	5
35	30	10	1	5
36	30	10	1	5
37	30	10	1	5
38	30	10	1	5
39	30	10	1	5
40	30	10	1	5
41	30	10	1	5
42	30	10	1	5
43	30	10	1	5
44	45	10	1	6
45	45	10	1	6
46	45	10	1	6
47	45	10	1	6
48	45	10	1	6
49	45	10	1	6
50	45	10	1	6
51	45	10	1	6
52	45	10	1	6
53	45	10	1	6
54	45	10	1	6
55	45	10	1	6
56	60	10	1	7
57	60	10	1	7
58	60	10	1	7
59	60	10	1	7
60	60	10	1	7
61	60	10	1	7
62	60	10	1	7
63	60	10	1	7
